Gene	log2FC_mRNA	padj
134944	-1.054799484	0.003431489
148410	-1.764780565	0.003519667
104613	-1.234212693	0.003525626
162767	2.99350607	0.003614466
156292	2.831390819	0.003727203
145072	1.016226112	0.003803465
152456	1.041936174	0.003858786
155549	1.920239022	0.003907942
114066	-1.058148998	0.003959758
115740	-3.553347336	0.003996131
142239	1.273168473	0.004006791
167265	1.065901612	0.004193874
104582	1.893191115	0.00422226
154804	-1.437160158	0.004266112
122340	1.411989127	0.004405943
107136	1.405051321	0.004415685
160087	2.134365687	0.004415685
115100	-2.348111514	0.004459159
156168	1.539317698	0.00447248
79737	2.17959817	0.004473124
110104	1.597260934	0.004485896
190995	-1.033554674	0.004592183
104163	1.354420788	0.004616608
111983	-1.623377169	0.004640135
78337	1.596508963	0.004640146
114725	1.35595577	0.004810209
107183	-1.181498039	0.004815459
151941	1.26333152	0.004839698
162730	1.171548261	0.004847797
127850	-1.185911431	0.004900594
37717	1.329258	0.005190023
117999	1.36707014	0.005198136
80796	1.784769324	0.005310926
138360	1.075986146	0.005363566
107758	1.00549527	0.005444248
82687	-2.466543931	0.005488209
166448	1.121700138	0.005606562
137066	-1.189022476	0.005656238
114887	1.595597032	0.00571462
83385	1.331302518	0.005840163
154774	-1.190186988	0.005871065
155780	1.121512913	0.00603592
78133	-1.412136949	0.006189013
76916	-2.227749257	0.006189155
72303	1.226434634	0.006244675
144262	-1.143367739	0.006253408
48945	1.014710882	0.00628444
22967	1.790582445	0.006373624
165362	1.906649909	0.006567854
79895	1.415743143	0.006793905
134574	-1.18801882	0.006856554
155395	1.991151874	0.006919602
140394	-2.379210336	0.007276984
155442	1.14860019	0.007702063
11833	-1.104946134	0.008025066
106371	-1.559610035	0.008054389
117291	-1.497495244	0.008182916
110538	-1.002898191	0.008186847
154904	1.717017444	0.008404725
183978	1.427139635	0.008407115
157312	-1.124780219	0.008454086
80256	1.74226178	0.00876792
74780	1.598562776	0.008771873
83927	1.090972744	0.008771873
154472	1.007235538	0.008817045
160515	1.891838786	0.008904627
11770	1.123954852	0.009000233
129228	1.213148194	0.009198798
77633	1.44403852	0.00927455
163733	-1.002788472	0.009419567
20654	-1.087522151	0.009452315
167418	2.27552702	0.00958327
114575	3.015116633	0.009855597
74354	1.241224781	0.009857433
168241	1.826405704	0.009950957
162624	1.193989486	0.010229309
107145	-1.059339638	0.010405644
116314	1.846234912	0.010448057
112811	2.772431936	0.011068914
107455	-4.007642878	0.011374431
144573	2.461891391	0.011564618
76624	1.084136278	0.011588464
113966	2.310372258	0.011635415
133966	1.149378939	0.011896779
85858	2.083186955	0.012048395
72465	1.489208301	0.012301284
